Date,GLD,IWM,QQQ,SPY,TLT,VNQ
2005-01-03,43.02000045776367,48.27503204345703,33.73878479003906,81.60597229003906,45.058921813964844,22.996849060058594
2005-01-04,42.7400016784668,47.24018478393555,33.123783111572266,80.60879516601562,44.586692810058594,22.651216506958008
2005-01-05,42.66999816894531,46.29597473144531,32.9188232421875,80.05255889892578,44.825382232666016,21.898237228393555
2005-01-06,42.150001525878906,46.541473388671875,32.75651931762695,80.45957946777344,44.8558349609375,22.06693458557129
2005-01-07,41.84000015258789,46.02405548095703,32.92735290527344,80.34423828125,44.957401275634766,22.017553329467773
2005-01-10,41.95000076293945,46.49236297607422,32.91027069091797,80.72412872314453,45.028499603271484,21.947607040405273
2005-01-11,42.209999084472656,45.92586898803711,32.67964553833008,80.16788482666016,45.292457580566406,21.725414276123047
2005-01-12,42.599998474121094,46.114681243896484,32.95297622680664,80.4323959350586,45.35343933105469,21.6225528717041
2005-01-13,42.599998474121094,45.97494888305664,32.51736831665039,79.7879867553711,45.790130615234375,21.6225528717041
2005-01-14,42.31999969482422,46.41305160522461,32.824859619140625,80.20855712890625,45.78507614135742,21.889999389648438
2005-01-18,42.31999969482422,46.9644775390625,33.07254409790039,81.0429458618164,45.93736267089844,22.103967666625977
2005-01-19,42.2599983215332,46.29221725463867,32.525909423828125,80.19500732421875,46.06937789916992,22.12453269958496
2005-01-20,42.25,46.01649475097656,31.902381896972656,79.70658874511719,46.1607551574707,22.054597854614258
2005-01-21,42.7400016784668,45.91075134277344,31.64613914489746,79.21818542480469,46.2115478515625,22.075176239013672
2005-01-24,42.77000045776367,45.55949783325195,31.201982498168945,79.06214904785156,46.40956497192383,21.898237228393555
2005-01-25,42.2400016784668,45.676578521728516,31.355728149414062,79.28604888916016,45.97288131713867,21.486764907836914
2005-01-26,42.689998626708984,46.28465270996094,31.731525421142578,79.52345275878906,46.059242248535156,21.420940399169922
2005-01-27,42.619998931884766,46.41684341430664,31.68883514404297,79.65908813476562,45.97288131713867,21.268686294555664
2005-01-28,42.689998626708984,46.37907028198242,31.535097122192383,79.65908813476562,46.43495178222656,21.301603317260742
2005-01-31,42.220001220703125,46.92292785644531,31.945079803466797,80.15434265136719,46.56698226928711,21.276914596557617
2005-02-01,42.099998474121094,47.187320709228516,32.04758071899414,80.6630630493164,46.49308776855469,21.43328094482422
2005-02-02,42.15999984741211,47.54611587524414,32.098819732666016,80.90730285644531,46.60013961791992,21.671937942504883
2005-02-03,41.68000030517578,47.28549575805664,31.731525421142578,80.69701385498047,46.57463455200195,21.73775863647461
2005-02-04,41.470001220703125,47.88222885131836,32.244041442871094,81.55850219726562,47.22190856933594,22.034013748168945
2005-02-07,41.27000045776367,47.87091064453125,32.17570114135742,81.44995880126953,47.57359313964844,21.959951400756836
2005-02-08,41.2599983215332,47.98797607421875,32.23550796508789,81.544921875,47.84373092651367,22.013446807861328
2005-02-09,41.310001373291016,46.9644775390625,31.697376251220703,80.93441772460938,47.97111511230469,22.153345108032227
2005-02-10,41.75,47.047569274902344,31.731525421142578,81.22608184814453,47.323890686035156,22.32204246520996
2005-02-11,42.08000183105469,47.814273834228516,32.201324462890625,81.92481994628906,47.293304443359375,22.38787078857422
2005-02-14,42.54999923706055,47.77272033691406,32.346534729003906,81.86377716064453,47.44108200073242,22.391992568969727
2005-02-15,42.58000183105469,47.814273834228516,32.560081481933594,82.16902160644531,47.201541900634766,22.490739822387695
2005-02-16,42.52000045776367,47.9577751159668,32.44048309326172,82.22329711914062,47.02317810058594,22.62241554260254
2005-02-17,42.72999954223633,47.53477478027344,32.0048713684082,81.55850219726562,46.72756576538086,22.60594940185547
2005-02-18,42.75,47.41768264770508,31.902381896972656,81.66709899902344,46.309627532958984,22.408458709716797
2005-02-22,43.56999969482422,46.49236297607422,31.509469985961914,80.4527587890625,46.10572052001953,21.766565322875977
2005-02-23,43.41999816894531,46.76808166503906,31.552173614501953,81.02938079833984,46.258609771728516,21.684276580810547
2005-02-24,43.33000183105469,47.20618438720703,31.953638076782227,81.56526184082031,46.15668869018555,21.700729370117188
2005-02-25,43.5,47.99174880981445,32.13300704956055,82.37256622314453,46.380985260009766,22.013446807861328
2005-02-28,43.529998779296875,47.69339370727539,31.791353225708008,81.82984924316406,45.88148498535156,21.95172882080078
2005-03-01,43.220001220703125,48.05975341796875,32.141544342041016,82.23686981201172,45.86712646484375,22.18214225769043
2005-03-02,43.25,47.9728889465332,32.124446868896484,82.19615173339844,45.8057861328125,22.034013748168945
2005-03-03,42.970001220703125,48.01442337036133,31.859676361083984,82.23007202148438,45.780208587646484,22.153345108032227
2005-03-04,43.380001068115234,48.603607177734375,32.04758071899414,83.25437927246094,46.276126861572266,22.568925857543945
2005-03-07,43.470001220703125,48.48274612426758,32.50882339477539,83.2950668334961,46.46022415161133,22.6759033203125
2005-03-08,44.029998779296875,48.02196502685547,32.18427276611328,82.9830322265625,46.02049255371094,22.548351287841797
2005-03-09,44.02000045776367,47.478126525878906,32.090293884277344,82.06051635742188,45.268985748291016,21.910572052001953
2005-03-10,44.20000076293945,47.274173736572266,32.04758071899414,82.24363708496094,45.545074462890625,22.058706283569336
2005-03-11,44.43000030517578,47.24018478393555,31.74863624572754,81.66709899902344,45.212711334228516,21.811824798583984
2005-03-14,44.029998779296875,47.59519958496094,31.893831253051758,82.17583465576172,45.483707427978516,22.116315841674805
2005-03-15,44.060001373291016,47.274173736572266,31.63759994506836,81.49745178222656,45.197357177734375,22.087509155273438
